condition,label
"Both d-cis- and l-cis-diltiazem have anti-ischemic action in the isolated, perfused working rat heart. The effect of diltiazem (d-cis-diltiazem) on the ischemic myocardium was compared with that of l-cis-diltiazem, an optical isomer having less potent calcium channel-blocking action, in the isolated, perfused working rat heart. Ischemia decreased mechanical function and tissue levels of ATP and creatine phosphate, and increased tissue levels of nonesterified fatty acids (NEFA), AMP and lactate. Reperfusion did not restore mechanical function, but restored incompletely the levels of metabolites (except NEFA) that had been altered by ischemia. The ischemia-induced changes in NEFA were prevented by d-cis-diltiazem completely and by l-cis-diltiazem incompletely. Other metabolic changes induced by ischemia were attenuated by d-cis-diltiazem but not by l-cis-diltiazem. In heart pretreated with d-cis- or l-cis-diltiazem, both the mechanical function and the levels of metabolites recovered during reperfusion, the degree of recovery with both drugs being similar. These results indicate that not only d-cis-diltiazem but also l-cis-diltiazem has an anti-ischemic action probably due to inhibition of the tissue NEFA accumulation. These results also suggest that the mechanism of the protective effect of d-cis-diltiazem on the ischemic myocardium is not entirely due to the calcium channel-blocking action. Treatment with low Ca2+ (1.0 mM CaCl2) also attenuated the ischemia-induced changes. The interval between reoxygenation and start of function in the reperfused heart that had been treated with low Ca2+ was significantly longer than that with d-cis- or l-cis-diltiazem. The effect of these isomers to shorten this interval may contribute to their common anti-ischemic action. ",cardiovascular diseases
"Electrocardiographic subset analysis of diltiazem administration on long-term outcome after acute myocardial infarction. The Multicenter Diltiazem Post-Infarction Trial Research Group. The effect of diltiazem on long-term outcome after acute myocardial infarction (AMI) was assessed in 2,377 patients enrolled in the Multicenter Diltiazem Post-Infarction Trial and subsequently followed for 25 +/- 8 months. The study population included 855 patients (36%) with at least 1 prior AMI before the index infarction and 1,522 patients (64%) with a first AMI, of whom 409 (27%) had a first non-Q-wave AMI, 664 (44%) a first inferior Q-wave AMI, and 449 (30%) a first anterior Q-wave AMI. This post hoc analysis revealed that, among patients with first non-Q-wave and first inferior Q-wave AMI, there were fewer cardiac events during follow-up in the diltiazem than in the placebo group, and that the reverse was true for patients with first anterior Q-wave AMI or prior infarction. The diltiazem:placebo Cox hazard ratio (95% confidence limits) for the trial primary end point (cardiac death or nonfatal reinfarction, whichever occurred first) was: first non-Q-wave AMI-0.48 (0.26, 0.89); first inferior Q-wave AMI-0.66 (0.40, 1.09); first anterior Q-wave AMI-0.82 (0.51, 1.31); and prior AMI-1.11 (0.85, 1.44). Use of cardiac death alone as an end point gave an even more sharply focused treatment difference: first non-Q-wave AMI-0.46 (0.18, 1.21); first inferior Q-wave AMI-0.53 (0.27, 1.06); first anterior Q-wave AMI-1.28 (0.68, 2.40); prior infarction-1.26 (0.90, 1.77). Further analysis revealed that these differences in the effect of diltiazem in large part reflected the different status of the 4 electrocardiographically defined subsets in terms of left ventricular function. ",cardiovascular diseases
"Left ventricular versus left atrial cannulation for the Thoratec ventricular assist device. In a retrospective study of 28 patients (23 men, 5 women) supported with ventricular assist devices greater than 3 days, the effect of LV cannulation versus LA cannulation on device performance was compared. Patients ranged in age from 12 to 67 years (mean 46 years) and were supported for 3-81 days (mean 15 years). Fifteen patients were supported with left VADs (6 LV and 9 LA), and 13 patients were supported with BVADs (5 LV and 8 LA). The mode of operation 91% of the time was the fill-to-empty mode. Ten data points were taken for each patient. LV cannulation results in higher VAD flow index at decreased preload, lower VAD systolic and vacuum pressures, and shorter diastolic durations. Eleven of the 28 patients survived. Although survival was greater in patients with LV cannulation, survival was more dependent upon reversibility of myocardial damage, eligibility for transplantation, or the development of complications. These data indicate that LV cannulation provides better VAD performance than LA cannulation in the fill-to-empty mode. ",cardiovascular diseases
Epidermotropic eccrine porocarcinoma. Three cases of epidermotropic eccrine porocarcinoma are summarized and compared with reported cases. All patients had a long-standing tumor on a lower extremity that rapidly metastasized to the skin and proximal lymph nodes. The histologic picture was consistent with an intraepidermal eccrine sweat gland carcinoma. ,neoplasms
"Incontinence and rectal prolapse: a prospective manometric study. A prospective, manometric study has been performed on 23 female patients with rectal prolapse and varying degrees of incontinence. Seven of the 14 incontinent patients regained continence after surgery, and a further two patients improved. Improvement in internal and external sphincter function follows correction of rectal prolapse. Preoperative resting anal pressure was significantly higher in continent patients than in incontinent patients (P less than 0.05), as was the maximum voluntary contraction pressure (P less than 0.027). Postoperatively there was a significant increase in the resting anal pressure (P less than 0.0001) and maximum voluntary contraction pressure (P less than 0.003) in the whole group. The preoperative resting anorectal angle was significantly more acute (P less than 0.028) in continent patients than in incontinent patients. There was no significant change in the resting anorectal angle following prolapse repair. Patients who remained incontinent had a significantly lower preoperative resting anal pressure (P less than 0.01) than patients who improved or regained continence. Similarly, maximum voluntary contraction pressure was lower preoperatively in these patients (P less than 0.02). Preoperative resting anal pressure below 10 mm Hg and maximum voluntary contraction pressure below 50 mm Hg are associated with persisting incontinence after surgery. ",digestive system diseases
"Safe performance of difficult laparoscopic cholecystectomies. Laparoscopic cholecystectomy has been advocated for the treatment of uncomplicated symptomatic gallstone disease, but has not been widely advocated for the management of more complicated gallbladder disease such as acute cholecystitis, previous surgery, or common duct stones. During the last 9 months, 360 patients underwent laparoscopic removal of their gallbladder. A total of 138 had a complicated presentation, making surgery more difficult. This article discusses the management of these patients with acute cholecystitis, previous surgery, or common duct disease. Using the described techniques, there were no complications or mortality. Laparoscopic management of difficult gallbladder problems is safe and effective. ",digestive system diseases
"Regression of infundibular pulmonary stenosis after successful balloon pulmonary valvuloplasty in adults. Between July 1985 and March 1988, 22 adult patients with congenital pulmonary stenosis underwent balloon pulmonary valvuloplasty. There were 10 males and 12 females aged 16-45 (average 25 +/- 9.9) years. All patients had additional mild to severe infundibular stenosis; 16 were restudied 6-36 (mean 12.6) months later by repeat catheterization. Student's t-test was used for comparison of data. Right ventricular (RV) systolic pressure before dilatation was 84-196 (mean 129 +/- 32.3) mm Hg, and the peak pulmonary gradient (PPG) was 60-176 (mean 111 +/- 33.2) mm Hg immediately after dilatation. The RV systolic pressure dropped to 32-140 (mean 59.2 +/- 27) (P less than 0.001); and PPG dropped to 10-113 (mean 37.8 +/- 26.4) (P less than 0.001), and the infundibular gradient ranged from 8 to 113 (mean 35.1 +/- 25.8) mm Hg. The infundibular diameter, before dilatation, ranged from 2 to 15 (mean 9.5 +/- 4) mm Hg. At repeat catheterization, the RV systolic pressure dropped further to 33-66 (mean 42.8 +/- 9.7) mm Hg and the PPG was reduced to 0-48 (mean 18.4 +/- 10.9) mm Hg (P less than 0.001). The infundibular gradient regressed to 0-34 (mean 15 +/- 8.8) mm Hg (P less than 0.001). The infundibular diameter increased to 8-25 (mean 15.8 +/- 5.4) (P less than 0.001). It is concluded that moderate to severe infundibular stenosis, in adults, can regress after successful pulmonary valvuloplasty. ",cardiovascular diseases
"Interpreting results of exercise studies after acute myocardial infarction altered by thrombolytic therapy, coronary angioplasty or bypass. Numerous studies have assessed the ability of exercise modalities to predict patient outcome after acute myocardial infarction (AMI). Implicit in the use of these prior data to assess the prognosis of patients currently undergoing exercise studies is the assumption that patients selected for exercise assessment are similar over time and that the data generated in the past are therefore applicable to the current patient populations. This study retrospectively assessed the clinical, exercise, and rest and exercise radionuclide angiographic data in 791 consecutive patients referred for exercise radionuclide angiography within 1 month after AMI during a 5-year period to determine if the clinical and exercise characteristics of patients referred for exercise evaluation after infarction have changed significantly over time. Most parameters examined demonstrated significant increasing trends, including thrombolytic therapy at the time of AMI, revascularization procedure between AMI and exercise assessment, age, beta-blocker usage, Q-wave AMI, inferior infarction, exercise double product, exercise capacity, significant ST-segment depression with exercise, peak ejection fraction, and change in ejection fraction with exercise. These data indicate that the characteristics of patients selected to undergo exercise after AMI in a large referral center have changed significantly over time. If these data are applicable to other referral centers and to other exercise testing modalities, previously published results regarding exercise assessment after AMI will need to be reconfirmed in patients currently selected for testing, since these results may no longer be applicable in this current era of aggressive medical and interventional management. ",cardiovascular diseases
"Further notes on Munchausen's syndrome: a case report of a change from acute abdominal to neurological type. A rare case of Munchausen's syndrome beginning in early childhood is described. The diagnosis of Munchausen's syndrome was made at the age of 29 years, after the symptoms had changed from acute abdominal to neurological complaints, with feigned loss of consciousness, first ascribed to an encephalitis. Insight into the psychopathology of this patient is given by his biography, by assessment of a psychotherapist, who had treated him some years before, and by his observed profile in some psychological tests. ",digestive system diseases
"Chilaiditi's syndrome. A diagnostic challenge. Chilaiditi's syndrome should be considered in the differential diagnosis of abdominal and chest pain. Although interposition of the right colon is a relatively common radiologic finding, there is a distinct paucity of information in the medical literature. Chilaiditi's syndrome is usually asymptomatic, but when symptoms occur, conservative treatment is usually effective. Recognition is important because this syndrome can be mistaken for more serious abnormalities, which may lead to unnecessary surgical intervention. ",digestive system diseases
